,symbol,historical
32,AAPL,"{'date': '2020-05-18', 'open': 313.17, 'high': 316.5, 'low': 310.32, 'close': 314.96, 'adjClose': 314.96, 'volume': 33843100.0, 'unadjustedVolume': 33843100.0, 'change': 1.79, 'changePercent': 0.572, 'vwap': 313.92667, 'label': 'May 18, 20', 'changeOverTime': 0.00572}"
33,AAPL,"{'date': '2020-05-15', 'open': 300.35, 'high': 307.9, 'low': 300.21, 'close': 307.71, 'adjClose': 307.71, 'volume': 41587100.0, 'unadjustedVolume': 41587100.0, 'change': 7.36, 'changePercent': 2.45, 'vwap': 305.27333, 'label': 'May 15, 20', 'changeOverTime': 0.0245}"
34,AAPL,"{'date': '2020-05-14', 'open': 304.51, 'high': 309.79, 'low': 301.53, 'close': 309.54, 'adjClose': 309.54, 'volume': 39732300.0, 'unadjustedVolume': 39732300.0, 'change': 5.03, 'changePercent': 1.652, 'vwap': 306.95333, 'label': 'May 14, 20', 'changeOverTime': 0.01652}"
35,AAPL,"{'date': '2020-05-13', 'open': 312.15, 'high': 315.95, 'low': 303.21, 'close': 307.65, 'adjClose': 307.65, 'volume': 50155600.0, 'unadjustedVolume': 50155600.0, 'change': -4.5, 'changePercent': -1.442, 'vwap': 308.93667, 'label': 'May 13, 20', 'changeOverTime': -0.01442}"
36,AAPL,"{'date': '2020-05-12', 'open': 317.83, 'high': 319.69, 'low': 310.91, 'close': 311.41, 'adjClose': 311.41, 'volume': 40575300.0, 'unadjustedVolume': 40575300.0, 'change': -6.42, 'changePercent': -2.02, 'vwap': 314.00333, 'label': 'May 12, 20', 'changeOverTime': -0.0202}"
37,AAPL,"{'date': '2020-05-11', 'open': 308.1, 'high': 317.05, 'low': 307.24, 'close': 315.01, 'adjClose': 315.01, 'volume': 36405900.0, 'unadjustedVolume': 36405900.0, 'change': 6.91, 'changePercent': 2.243, 'vwap': 313.1, 'label': 'May 11, 20', 'changeOverTime': 0.02243}"
38,AAPL,"{'date': '2020-05-08', 'open': 305.64, 'high': 310.35, 'low': 304.29, 'close': 310.13, 'adjClose': 310.13, 'volume': 33512000.0, 'unadjustedVolume': 33512000.0, 'change': 4.49, 'changePercent': 1.469, 'vwap': 308.25667, 'label': 'May 08, 20', 'changeOverTime': 0.01469}"
39,AAPL,"{'date': '2020-05-07', 'open': 303.22, 'high': 305.17, 'low': 301.97, 'close': 303.74, 'adjClose': 302.92, 'volume': 28803800.0, 'unadjustedVolume': 28803800.0, 'change': 0.52, 'changePercent': 0.171, 'vwap': 303.62667, 'label': 'May 07, 20', 'changeOverTime': 0.00171}"
40,AAPL,"{'date': '2020-05-06', 'open': 300.46, 'high': 303.24, 'low': 298.87, 'close': 300.63, 'adjClose': 299.82, 'volume': 35583400.0, 'unadjustedVolume': 35583400.0, 'change': 0.17, 'changePercent': 0.057, 'vwap': 300.91333, 'label': 'May 06, 20', 'changeOverTime': 0.00057}"
41,AAPL,"{'date': '2020-05-05', 'open': 295.06, 'high': 301.0, 'low': 294.46, 'close': 297.56, 'adjClose': 296.76, 'volume': 36937800.0, 'unadjustedVolume': 36937800.0, 'change': 2.5, 'changePercent': 0.847, 'vwap': 297.67333, 'label': 'May 05, 20', 'changeOverTime': 0.00847}"
42,AAPL,"{'date': '2020-05-04', 'open': 289.17, 'high': 293.69, 'low': 286.32, 'close': 293.16, 'adjClose': 292.37, 'volume': 33392000.0, 'unadjustedVolume': 33392000.0, 'change': 3.99, 'changePercent': 1.38, 'vwap': 291.05667, 'label': 'May 04, 20', 'changeOverTime': 0.0138}"
43,AAPL,"{'date': '2020-05-01', 'open': 286.25, 'high': 299.0, 'low': 285.85, 'close': 289.07, 'adjClose': 288.29, 'volume': 60154200.0, 'unadjustedVolume': 60154200.0, 'change': 2.82, 'changePercent': 0.985, 'vwap': 291.30667, 'label': 'May 01, 20', 'changeOverTime': 0.00985}"
44,AAPL,"{'date': '2020-04-30', 'open': 289.96, 'high': 294.53, 'low': 288.35, 'close': 293.8, 'adjClose': 293.01, 'volume': 45766000.0, 'unadjustedVolume': 45766000.0, 'change': 3.84, 'changePercent': 1.324, 'vwap': 292.22667, 'label': 'April 30, 20', 'changeOverTime': 0.01324}"
45,AAPL,"{'date': '2020-04-29', 'open': 284.73, 'high': 289.67, 'low': 283.89, 'close': 287.73, 'adjClose': 286.95, 'volume': 34320200.0, 'unadjustedVolume': 34320200.0, 'change': 3.0, 'changePercent': 1.054, 'vwap': 287.09667, 'label': 'April 29, 20', 'changeOverTime': 0.01054}"
46,AAPL,"{'date': '2020-04-28', 'open': 285.08, 'high': 285.83, 'low': 278.2, 'close': 278.58, 'adjClose': 277.83, 'volume': 28001200.0, 'unadjustedVolume': 28001200.0, 'change': -6.5, 'changePercent': -2.28, 'vwap': 280.87, 'label': 'April 28, 20', 'changeOverTime': -0.0228}"
47,AAPL,"{'date': '2020-04-27', 'open': 281.8, 'high': 284.54, 'low': 279.95, 'close': 283.17, 'adjClose': 282.41, 'volume': 29271900.0, 'unadjustedVolume': 29271900.0, 'change': 1.37, 'changePercent': 0.486, 'vwap': 282.55333, 'label': 'April 27, 20', 'changeOverTime': 0.00486}"
48,AAPL,"{'date': '2020-04-24', 'open': 277.2, 'high': 283.01, 'low': 277.0, 'close': 282.97, 'adjClose': 282.21, 'volume': 31627200.0, 'unadjustedVolume': 31627200.0, 'change': 5.77, 'changePercent': 2.082, 'vwap': 280.99333, 'label': 'April 24, 20', 'changeOverTime': 0.02082}"
49,AAPL,"{'date': '2020-04-23', 'open': 275.87, 'high': 281.75, 'low': 274.87, 'close': 275.03, 'adjClose': 274.29, 'volume': 31203600.0, 'unadjustedVolume': 31203600.0, 'change': -0.84, 'changePercent': -0.304, 'vwap': 277.21667, 'label': 'April 23, 20', 'changeOverTime': -0.00304}"
50,AAPL,"{'date': '2020-04-22', 'open': 273.61, 'high': 277.9, 'low': 272.2, 'close': 276.1, 'adjClose': 275.35, 'volume': 29264300.0, 'unadjustedVolume': 29264300.0, 'change': 2.49, 'changePercent': 0.91, 'vwap': 275.4, 'label': 'April 22, 20', 'changeOverTime': 0.0091}"
51,AAPL,"{'date': '2020-04-21', 'open': 276.28, 'high': 277.25, 'low': 265.43, 'close': 268.37, 'adjClose': 267.65, 'volume': 45247900.0, 'unadjustedVolume': 45247900.0, 'change': -7.91, 'changePercent': -2.863, 'vwap': 270.35, 'label': 'April 21, 20', 'changeOverTime': -0.02863}"
52,AAPL,"{'date': '2020-04-20', 'open': 277.95, 'high': 281.68, 'low': 276.85, 'close': 276.93, 'adjClose': 276.18, 'volume': 32503800.0, 'unadjustedVolume': 32503800.0, 'change': -1.02, 'changePercent': -0.367, 'vwap': 278.48667, 'label': 'April 20, 20', 'changeOverTime': -0.00367}"
53,AAPL,"{'date': '2020-04-17', 'open': 284.69, 'high': 286.95, 'low': 276.86, 'close': 282.8, 'adjClose': 282.04, 'volume': 53812500.0, 'unadjustedVolume': 53812500.0, 'change': -1.89, 'changePercent': -0.664, 'vwap': 282.20333, 'label': 'April 17, 20', 'changeOverTime': -0.00664}"
54,AAPL,"{'date': '2020-04-16', 'open': 287.38, 'high': 288.2, 'low': 282.35, 'close': 286.69, 'adjClose': 285.92, 'volume': 39281300.0, 'unadjustedVolume': 39281300.0, 'change': -0.69, 'changePercent': -0.24, 'vwap': 285.74667, 'label': 'April 16, 20', 'changeOverTime': -0.0024}"
55,AAPL,"{'date': '2020-04-15', 'open': 282.4, 'high': 286.33, 'low': 280.63, 'close': 284.43, 'adjClose': 283.66, 'volume': 32788600.0, 'unadjustedVolume': 32788600.0, 'change': 2.03, 'changePercent': 0.719, 'vwap': 283.79667, 'label': 'April 15, 20', 'changeOverTime': 0.00719}"
56,AAPL,"{'date': '2020-04-14', 'open': 280.0, 'high': 288.25, 'low': 278.05, 'close': 287.05, 'adjClose': 286.28, 'volume': 48748700.0, 'unadjustedVolume': 48748700.0, 'change': 7.05, 'changePercent': 2.518, 'vwap': 284.45, 'label': 'April 14, 20', 'changeOverTime': 0.02518}"
57,AAPL,"{'date': '2020-04-13', 'open': 268.31, 'high': 273.7, 'low': 265.83, 'close': 273.25, 'adjClose': 272.51, 'volume': 32755700.0, 'unadjustedVolume': 32755700.0, 'change': 4.94, 'changePercent': 1.841, 'vwap': 270.92667, 'label': 'April 13, 20', 'changeOverTime': 0.01841}"
58,AAPL,"{'date': '2020-04-09', 'open': 268.7, 'high': 270.07, 'low': 264.7, 'close': 267.99, 'adjClose': 267.27, 'volume': 40529100.0, 'unadjustedVolume': 40529100.0, 'change': -0.71, 'changePercent': -0.264, 'vwap': 267.58667, 'label': 'April 09, 20', 'changeOverTime': -0.00264}"
59,AAPL,"{'date': '2020-04-08', 'open': 262.74, 'high': 267.37, 'low': 261.23, 'close': 266.07, 'adjClose': 265.35, 'volume': 42223800.0, 'unadjustedVolume': 42223800.0, 'change': 3.33, 'changePercent': 1.267, 'vwap': 264.89, 'label': 'April 08, 20', 'changeOverTime': 0.01267}"
60,AAPL,"{'date': '2020-04-07', 'open': 270.8, 'high': 271.7, 'low': 259.0, 'close': 259.43, 'adjClose': 258.73, 'volume': 50721800.0, 'unadjustedVolume': 50721800.0, 'change': -11.37, 'changePercent': -4.199, 'vwap': 263.37667, 'label': 'April 07, 20', 'changeOverTime': -0.04199}"
